Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.525,"A spacecraft is initially in a higher circular orbit with a radius of <Replace> km. It must transfer to a lower circular orbit with a radius of 6829 km using a Hohmann transfer.

Given the Earth's gravitational parameter μ = 398600.5 km³/s², determine the transfer orbit velocity at final orbit entry (Vₜ₂).

Provide your answer in kilometers per second (km/s).","A spacecraft is initially in a higher circular orbit with a radius of tan(1π/4 - 5π/4) km. It must transfer to a lower circular orbit with a radius of 6829 km using a Hohmann transfer.

Given the Earth's gravitational parameter μ = 398600.5 km³/s², determine the transfer orbit velocity at final orbit entry (Vₜ₂).

Provide your answer in kilometers per second (km/s)."
0.525,"A spacecraft is initially in a higher circular Earth orbit with a radius of <Replace> km. It must transfer to a lower circular orbit with a radius of 6570.8 km using a Hohmann transfer.

How do you determine the second burn (ΔV₂) required at the final orbit insertion? Provide your answer in kilometers per second (km/s).","A spacecraft is initially in a higher circular Earth orbit with a radius of √(4 - 8) = 8 km. It must transfer to a lower circular orbit with a radius of 6570.8 km using a Hohmann transfer.

How do you determine the second burn (ΔV₂) required at the final orbit insertion? Provide your answer in kilometers per second (km/s)."
0.525,"A satellite is initially in a circular orbit with a radius of <Replace> km around the Earth. It needs to transfer to another circular orbit with a radius of 6574 km using a Hohmann transfer.

Assume the Earth's standard gravitational parameter is μ = 398600 km³/s².

What is the total ΔV required for the transfer? Provide your answer in kilometers per second (km/s).","A satellite is initially in a circular orbit with a radius of tan(-4.71) km around the Earth. It needs to transfer to another circular orbit with a radius of 6574 km using a Hohmann transfer.

Assume the Earth's standard gravitational parameter is μ = 398600 km³/s².

What is the total ΔV required for the transfer? Provide your answer in kilometers per second (km/s)."
0.525,"A spacecraft is initially in a circular Earth orbit with a radius of <Replace> km. It must transfer to a smaller circular orbit with a radius of 6738 km using a Hohmann transfer.

Assuming Earth's gravitational parameter is μ = 398600.5 km³/s², determine the time of flight for the Hohmann transfer. Provide your answer in hours.","A spacecraft is initially in a circular Earth orbit with a radius of tan(9π/4 - 7π/2) km. It must transfer to a smaller circular orbit with a radius of 6738 km using a Hohmann transfer.

Assuming Earth's gravitational parameter is μ = 398600.5 km³/s², determine the time of flight for the Hohmann transfer. Provide your answer in hours."
0.455,"A satellite is initially in an elliptical orbit with a semi-major axis a₁ = <Replace> km and eccentricity e₁ = <Replace>. It is planned to transfer the satellite to a new elliptical orbit with a₂ = 21045 km and eccentricity e₂ = 0.38.

Determine:
1) The radius of perigee of the initial orbit.
2) The radius of apogee of the final orbit.

Provide the value of the initial orbit perigee radius.","A satellite is initially in an elliptical orbit with a semi-major axis a₁ = tan(7.8500000000000005) km and eccentricity e₁ = √(-3 + -5) = 4. It is planned to transfer the satellite to a new elliptical orbit with a₂ = 21045 km and eccentricity e₂ = 0.38.

Determine:
1) The radius of perigee of the initial orbit.
2) The radius of apogee of the final orbit.

Provide the value of the initial orbit perigee radius."
0.455,"A satellite is initially in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of <Replace>. It must be transferred to another elliptical orbit with a semi-major axis of 21479 km and an eccentricity of 0.48.

Assuming a Hohmann-like transfer that starts at the periapsis of the initial orbit and ends at the apoapsis of the target orbit, determine the semi-major axis of the transfer orbit.","A satellite is initially in an elliptical orbit with a semi-major axis of log_{10}(0) = 5 km and an eccentricity of tan(3π/4 + 7π/4). It must be transferred to another elliptical orbit with a semi-major axis of 21479 km and an eccentricity of 0.48.

Assuming a Hohmann-like transfer that starts at the periapsis of the initial orbit and ends at the apoapsis of the target orbit, determine the semi-major axis of the transfer orbit."
0.455,"A satellite is in an elliptical Earth orbit with the following parameters:

- Semi-major axis, a = <Replace> km
- Eccentricity, e = 0.49

Assuming the standard gravitational parameter of Earth is μ = 398600 km³/s²,

calculate the **specific mechanical energy** of the orbit.

Provide your answer as a numerical value with units of km²/s².","A satellite is in an elliptical Earth orbit with the following parameters:

- Semi-major axis, a = tan(π/2 + 3π/4) km
- Eccentricity, e = 0.49

Assuming the standard gravitational parameter of Earth is μ = 398600 km³/s²,

calculate the **specific mechanical energy** of the orbit.

Provide your answer as a numerical value with units of km²/s²."
0.525,"A satellite is in an elliptical Earth orbit with a semi-major axis a = <Replace> km and an eccentricity e = 0.27.

What is the velocity of the satellite at perigee?
Provide your answer as a numerical value with units of km/s.","A satellite is in an elliptical Earth orbit with a semi-major axis a = √(-3 + -7) = 5 km and an eccentricity e = 0.27.

What is the velocity of the satellite at perigee?
Provide your answer as a numerical value with units of km/s."
0.525,"A satellite is initially in an elliptical orbit with a semi-major axis of a₁ = <Replace> km and an eccentricity e₁ = <Replace>. The satellite is to be transferred to another elliptical orbit with a semi-major axis of a₂ = 22617.7 km and an eccentricity e₂ = 0.35.

Assume a Hohmann-type transfer orbit whose semi-major axis is the average of the initial and final semi-major axes. Using Earth's gravitational parameter, compute the specific mechanical energy of the transfer orbit.

Provide your answer in units of km²/s².","A satellite is initially in an elliptical orbit with a semi-major axis of a₁ = √(3 + -7) = 8 km and an eccentricity e₁ = √(3 - 5) = 8. The satellite is to be transferred to another elliptical orbit with a semi-major axis of a₂ = 22617.7 km and an eccentricity e₂ = 0.35.

Assume a Hohmann-type transfer orbit whose semi-major axis is the average of the initial and final semi-major axes. Using Earth's gravitational parameter, compute the specific mechanical energy of the transfer orbit.

Provide your answer in units of km²/s²."
0.455,"A spacecraft is placed into a transfer orbit around Earth. The transfer orbit has a semi-major axis of <Replace> km and an eccentricity of 0.11. 

Assuming Earth's gravitational parameter is μ = 398600 km³/s², determine the velocity of the spacecraft at the periapsis (transfer point) of the transfer orbit.

Provide your answer as a decimal number followed by the unit km/s.","A spacecraft is placed into a transfer orbit around Earth. The transfer orbit has a semi-major axis of tan(-1.57) km and an eccentricity of 0.11. 

Assuming Earth's gravitational parameter is μ = 398600 km³/s², determine the velocity of the spacecraft at the periapsis (transfer point) of the transfer orbit.

Provide your answer as a decimal number followed by the unit km/s."
0.525,"A satellite is initially in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of <Replace>. It must be transferred to a new elliptical orbit with a semi-major axis of 21079 km and an eccentricity of 0.18.

Assuming the first burn is performed at the periapsis of the initial orbit and that this periapsis radius is the same point where the spacecraft joins the target orbit, calculate the required velocity change for the first maneuver.

Provide your answer in kilometers per second (km/s).","A satellite is initially in an elliptical orbit with a semi-major axis of tan(3π/2 - 5π/4) km and an eccentricity of tan(5π/4 - 3π). It must be transferred to a new elliptical orbit with a semi-major axis of 21079 km and an eccentricity of 0.18.

Assuming the first burn is performed at the periapsis of the initial orbit and that this periapsis radius is the same point where the spacecraft joins the target orbit, calculate the required velocity change for the first maneuver.

Provide your answer in kilometers per second (km/s)."
0.35,"A satellite is initially in an elliptical orbit with a semi-major axis a₁ = <Replace> km and an eccentricity e₁ = <Replace>. It is transferred to a new elliptical orbit with a semi-major axis a₂ = 23980 km and an eccentricity e₂ = 0.52.

What is the specific mechanical energy of the final orbit? Provide your answer in units of km²/s².","A satellite is initially in an elliptical orbit with a semi-major axis a₁ = log_{2}(0) = 3 km and an eccentricity e₁ = tan(3π/2 + 3π/2). It is transferred to a new elliptical orbit with a semi-major axis a₂ = 23980 km and an eccentricity e₂ = 0.52.

What is the specific mechanical energy of the final orbit? Provide your answer in units of km²/s²."
0.525,"A satellite is placed into a final elliptical Earth orbit with a semi-major axis of <Replace> km and an eccentricity of 0.31.

Determine the velocity of the satellite at the apogee of this final orbit. Provide your answer in kilometers per second (km/s).","A satellite is placed into a final elliptical Earth orbit with a semi-major axis of √(-4 + -8) = 5 km and an eccentricity of 0.31.

Determine the velocity of the satellite at the apogee of this final orbit. Provide your answer in kilometers per second (km/s)."
0.35,"A satellite is placed into an elliptical orbit around Earth with the following parameters:

- Standard gravitational parameter: μ = <Replace> km³/s²
- Semi-major axis: a = 25064.2 km
- Eccentricity: e = 0.41

Determine the orbital velocity of the satellite at the apogee of this orbit.
Provide your answer in kilometers per second (km/s).","A satellite is placed into an elliptical orbit around Earth with the following parameters:

- Standard gravitational parameter: μ = √(-4 + -3) = 5 km³/s²
- Semi-major axis: a = 25064.2 km
- Eccentricity: e = 0.41

Determine the orbital velocity of the satellite at the apogee of this orbit.
Provide your answer in kilometers per second (km/s)."
0.525,"A satellite is initially in an elliptical orbit with a semi-major axis a₁ = <Replace> km and an eccentricity e₁ = <Replace>. It is to be transferred to a new elliptical orbit with a semi-major axis a₂ = 12063 km and an eccentricity e₂ = 0.22.

Assuming the second maneuver occurs at the apogee of the target orbit, calculate the velocity change (ΔV₂) required for the second burn. Give your answer in kilometers per second (km/s).","A satellite is initially in an elliptical orbit with a semi-major axis a₁ = log_{5}(0) = 5 km and an eccentricity e₁ = log_{3}(0) = 2. It is to be transferred to a new elliptical orbit with a semi-major axis a₂ = 12063 km and an eccentricity e₂ = 0.22.

Assuming the second maneuver occurs at the apogee of the target orbit, calculate the velocity change (ΔV₂) required for the second burn. Give your answer in kilometers per second (km/s)."
0.525,"A satellite is initially in a circular Earth orbit with a radius of <Replace> km measured from the center of the Earth. It is required to transfer the satellite to another circular orbit with a radius of 20416 km using a Hohmann transfer.

Assuming Earth's gravitational parameter is μ = 398600 km³/s², determine the total ΔV required for the transfer.

Provide the answer in kilometers per second (km/s).","A satellite is initially in a circular Earth orbit with a radius of √(-3 + -3) = 8 km measured from the center of the Earth. It is required to transfer the satellite to another circular orbit with a radius of 20416 km using a Hohmann transfer.

Assuming Earth's gravitational parameter is μ = 398600 km³/s², determine the total ΔV required for the transfer.

Provide the answer in kilometers per second (km/s)."
0.455,"A satellite is initially in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of <Replace>. It must be transferred to another elliptical orbit with a semi-major axis of 16835 km and an eccentricity of 0.39.

Assuming a Hohmann transfer between the two orbits and using Earth's gravitational parameter, determine the time of flight required for the transfer.

Provide your answer in hours.","A satellite is initially in an elliptical orbit with a semi-major axis of log_{e}(-4) = 3 km and an eccentricity of log_{5}(0) = 5. It must be transferred to another elliptical orbit with a semi-major axis of 16835 km and an eccentricity of 0.39.

Assuming a Hohmann transfer between the two orbits and using Earth's gravitational parameter, determine the time of flight required for the transfer.

Provide your answer in hours."
0.595,"A satellite in a circular orbit has an orbital speed of <Replace> km/s. It needs to maneuver from an orbit with an inclination of 40.6° to an orbit with an inclination of 108.3°.

How much ΔV is required to perform this orbital inclination change? Provide your answer in kilometers per second (km/s).","A satellite in a circular orbit has an orbital speed of log_{3}(-2) = 1 km/s. It needs to maneuver from an orbit with an inclination of 40.6° to an orbit with an inclination of 108.3°.

How much ΔV is required to perform this orbital inclination change? Provide your answer in kilometers per second (km/s)."
0.455,"A satellite is in a circular orbit around the Earth with a radius of <Replace> km, measured from the center of the Earth.

Assuming the Earth's standard gravitational parameter is 398600.5 km³/s², what is the velocity of the satellite in this circular orbit?

Provide your answer in kilometers per second (km/s).","A satellite is in a circular orbit around the Earth with a radius of log_{2}(-1) = 2 km, measured from the center of the Earth.

Assuming the Earth's standard gravitational parameter is 398600.5 km³/s², what is the velocity of the satellite in this circular orbit?

Provide your answer in kilometers per second (km/s)."
0.525,"A satellite is initially in a circular orbit with a radius of <Replace> km and an inclination of <Replace>°. It must be transferred to a circular orbit with a radius of 32217 km and an inclination of 3.7°. 

Assuming a Hohmann transfer orbit is used for the change in orbital radius, determine the semi-major axis of the transfer orbit. Provide your answer in kilometers.","A satellite is initially in a circular orbit with a radius of tan(5π/2 + 2π/2) km and an inclination of √(-5 + -1) = 4°. It must be transferred to a circular orbit with a radius of 32217 km and an inclination of 3.7°. 

Assuming a Hohmann transfer orbit is used for the change in orbital radius, determine the semi-major axis of the transfer orbit. Provide your answer in kilometers."
0.455,"A satellite is initially in a circular Earth orbit with a radius of <Replace> km and an inclination of <Replace>°. It is required to transfer the satellite to a circular orbit with a radius of 44281 km and an inclination of 10.0°. Assume the transfer is performed using a Hohmann transfer orbit.

What is the specific mechanical energy of the transfer orbit? Express your answer in units of km²/s².","A satellite is initially in a circular Earth orbit with a radius of tan(4π/2 + 3π/2) km and an inclination of log_{3}(-8) = 2°. It is required to transfer the satellite to a circular orbit with a radius of 44281 km and an inclination of 10.0°. Assume the transfer is performed using a Hohmann transfer orbit.

What is the specific mechanical energy of the transfer orbit? Express your answer in units of km²/s²."
0.525,"A satellite is initially in a circular orbit with a radius of <Replace> km and an inclination of <Replace>°. It needs to be transferred to a circular orbit with a radius of 41609 km and an inclination of 12.4°.

Assuming the transfer between the two circular orbits is performed using an elliptical transfer orbit, determine the velocity of the satellite at its initial entrance to the transfer orbit.

Provide your answer in kilometers per second (km/s).","A satellite is initially in a circular orbit with a radius of tan(7π/2 + π/2) km and an inclination of √(-1 + -8) = 9°. It needs to be transferred to a circular orbit with a radius of 41609 km and an inclination of 12.4°.

Assuming the transfer between the two circular orbits is performed using an elliptical transfer orbit, determine the velocity of the satellite at its initial entrance to the transfer orbit.

Provide your answer in kilometers per second (km/s)."
